X,Y,Z,Step
8.575,5.625,1.33,7
8.575,5.625,1.34,7
8.575,5.625,1.35,7
8.575,5.625,1.36,7
8.575,5.625,1.37,7
8.575,5.625,1.38,7
8.575,5.625,1.39,7
8.575,5.625,1.4,7
8.575,5.625,1.41,7
8.575,5.625,1.42,7
8.575,5.625,1.43,7
8.575,5.625,1.44,7
8.575,5.625,1.45,7
8.575,5.625,1.46,7
8.575,5.625,1.47,7
8.575,5.625,1.48,7
8.575,5.625,1.49,7
8.575,5.625,1.5,7
8.575,5.625,1.51,7
8.575,5.625,1.52,7
8.575,5.625,1.53,7
8.575,5.625,1.54,7
8.575,5.625,1.55,7
8.575,5.625,1.56,7
8.575,5.625,1.57,7
8.575,5.625,1.58,7
8.575,5.625,1.59,7
8.575,5.625,1.6,7
8.575,5.625,1.61,7
8.575,5.625,1.62,7
8.575,5.625,1.63,7
8.575,5.625,1.64,7
8.575,5.625,1.65,7
8.575,5.625,1.66,7
8.575,5.625,1.67,7
8.575,5.625,1.68,7
8.575,5.625,1.69,7
8.575,5.625,1.7,7
8.575,5.625,1.71,7
8.575,5.625,1.72,7
8.575,5.625,1.73,7
8.575,5.625,1.74,7
8.575,5.625,1.75,7
8.575,5.625,1.76,7
8.575,5.625,1.77,7
8.575,5.625,1.78,7
8.575,5.625,1.79,7
8.575,5.625,1.8,7
8.575,5.625,1.81,7
8.575,5.625,1.82,7
6.945,5.125,0.35,8
6.955,5.125,0.3575,8
6.965,5.125,0.365,8
6.975,5.125,0.3725,8
6.985,5.125,0.38,8
6.995,5.125,0.3875,8
7.005,5.125,0.395,8
7.015,5.125,0.4025,8
7.025,5.125,0.41,8
7.035,5.125,0.4175,8
7.045,5.125,0.425,8
7.055,5.125,0.4325,8
7.065,5.125,0.44,8
7.075,5.125,0.4475,8
7.085,5.125,0.455,8
7.095,5.125,0.4625,8
7.105,5.125,0.47,8
7.115,5.125,0.4775,8
7.125,5.125,0.485,8
7.135,5.125,0.4925,8
7.145,5.125,0.5,8
7.155,5.125,0.5075,8
7.165,5.125,0.515,8
7.175,5.125,0.5225,8
7.185,5.125,0.53,8
7.195,5.125,0.5375,8
7.205,5.125,0.545,8
7.215,5.125,0.5525,8
7.225,5.125,0.56,8
7.235,5.125,0.5675,8
7.245,5.125,0.575,8
7.255,5.125,0.5825,8
7.265,5.125,0.59,8
7.275,5.125,0.5975,8
7.285,5.125,0.605,8
7.295,5.125,0.6125,8
7.305,5.125,0.62,8
7.315,5.125,0.6275,8
7.325,5.125,0.635,8
7.335,5.125,0.6425,8
7.345,5.125,0.65,8
7.355,5.125,0.6575,8
7.365,5.125,0.665,8
7.375,5.125,0.6725,8
7.385,5.125,0.68,8
7.395,5.125,0.6875,8
7.405,5.125,0.695,8
7.415,5.125,0.7025,8
7.425,5.125,0.71,8
7.435,5.125,0.7175,8
7.445,5.125,0.725,8
7.455,5.125,0.7325,8
7.465,5.125,0.74,8
7.475,5.125,0.7475,8
7.485,5.125,0.755,8
7.495,5.125,0.7625,8
7.505,5.125,0.77,8
7.515,5.125,0.7775,8
7.525,5.125,0.785,8
7.535,5.125,0.7925,8
7.545,5.125,0.8,8
7.555,5.125,0.8075,8
7.565,5.125,0.815,8
7.575,5.125,0.8225,8
7.585,5.125,0.83,8
7.595,5.125,0.8375,8
7.605,5.125,0.845,8
7.615,5.125,0.8525,8
7.625,5.125,0.86,8
7.635,5.125,0.8675,8
7.645,5.125,0.875,8
7.655,5.125,0.8825,8
7.665,5.125,0.89,8
7.675,5.125,0.8975,8
7.685,5.125,0.905,8
7.695,5.125,0.9125,8
7.705,5.125,0.92,8
7.715,5.125,0.9275,8
7.725,5.125,0.935,8
7.735,5.125,0.9425,8
7.745,5.125,0.95,8
7.755,5.125,0.9575,8
7.765,5.125,0.965,8
7.775,5.125,0.9725,8
7.785,5.125,0.98,8
7.795,5.125,0.9875,8
7.805,5.125,0.995,8
7.815,5.125,1.0025,8
7.825,5.125,1.01,8
7.835,5.125,1.0175,8
7.845,5.125,1.025,8
7.855,5.125,1.0325,8
7.865,5.125,1.04,8
7.875,5.125,1.0475,8
7.885,5.125,1.055,8
7.895,5.125,1.0625,8
7.905,5.125,1.07,8
7.915,5.125,1.0775,8
7.925,5.125,1.085,8
7.935,5.125,1.0925,8
7.945,5.125,1.1,8
7.955,5.125,1.1075,8
7.965,5.125,1.115,8
7.975,5.125,1.1225,8
7.985,5.125,1.13,8
7.995,5.125,1.1375,8
8.005,5.125,1.145,8
8.015,5.125,1.1525,8
8.025,5.125,1.16,8
8.035,5.125,1.1675,8
8.045,5.125,1.175,8
8.055,5.125,1.1825,8
8.065,5.125,1.19,8
8.075,5.125,1.1975,8
8.085,5.125,1.205,8
8.095,5.125,1.2125,8
8.105,5.125,1.22,8
8.115,5.125,1.2275,8
8.125,5.125,1.235,8
8.135,5.125,1.2425,8
8.145,5.125,1.25,8
8.155,5.125,1.2575,8
8.165,5.125,1.265,8
8.175,5.125,1.2725,8
8.185,5.125,1.28,8
8.195,5.125,1.2875,8
8.205,5.125,1.295,8
8.215,5.125,1.3025,8
8.225,5.125,1.31,8
8.235,5.125,1.3175,8
8.245,5.125,1.325,8
8.255,5.125,1.3325,8
8.265,5.125,1.34,8
8.275,5.125,1.3475,8
8.285,5.125,1.355,8
8.295,5.125,1.3625,8
8.305,5.125,1.37,8
8.315,5.125,1.3775,8
8.325,5.125,1.385,8
8.335,5.125,1.3925,8
8.345,5.125,1.4,8
8.355,5.125,1.4075,8
8.365,5.125,1.415,8
8.375,5.125,1.4225,8
8.385,5.125,1.43,8
8.395,5.125,1.4375,8
8.405,5.125,1.445,8
8.415,5.125,1.4525,8
8.425,5.125,1.46,8
8.435,5.125,1.4675,8
8.445,5.125,1.475,8
8.455,5.125,1.4825,8
8.465,5.125,1.49,8
8.475,5.125,1.4975,8
8.485,5.125,1.505,8
8.495,5.125,1.5125,8
8.505,5.125,1.52,8
8.515,5.125,1.5275,8
8.525,5.125,1.535,8
8.535,5.125,1.5425,8
8.545,5.125,1.55,8
8.555,5.125,1.5575,8
8.565,5.125,1.565,8
8.575,5.125,1.5725,8
8.585,5.125,1.58,8
8.595,5.125,1.5875,8
8.605,5.125,1.595,8
8.615,5.125,1.6025,8
8.625,5.125,1.61,8
8.635,5.125,1.6175,8
8.645,5.125,1.625,8
8.655,5.125,1.6325,8
8.665,5.125,1.64,8
8.675,5.125,1.6475,8
8.685,5.125,1.655,8
8.695,5.125,1.6625,8
8.705,5.125,1.67,8
8.715,5.125,1.6775,8
8.725,5.125,1.685,8
8.735,5.125,1.6925,8
8.745,5.125,1.7,8
8.755,5.125,1.7075,8
8.765,5.125,1.715,8
8.775,5.125,1.7225,8
8.785,5.125,1.73,8
8.795,5.125,1.7375,8
8.805,5.125,1.745,8
8.815,5.125,1.7525,8
8.825,5.125,1.76,8
8.835,5.125,1.7675,8
8.845,5.125,1.775,8
8.855,5.125,1.7825,8
8.865,5.125,1.79,8
8.875,5.125,1.7975,8
8.885,5.125,1.805,8
8.895,5.125,1.8125,8
8.905,5.125,1.82,8
8.915,5.125,1.8275,8
8.925,5.125,1.835,8
8.935,5.125,1.8425,8
8.945,5.125,1.85,8
8.955,5.125,1.8575,8
8.965,5.125,1.865,8
8.975,5.125,1.8725,8
8.985,5.125,1.88,8
8.995,5.125,1.8875,8
9.005,5.125,1.895,8
9.015,5.125,1.9025,8
9.025,5.125,1.91,8
9.035,5.125,1.9175,8
9.045,5.125,1.925,8
9.055,5.125,1.9325,8
9.065,5.125,1.94,8
9.075,5.125,1.9475,8
9.085,5.125,1.955,8
9.095,5.125,1.9625,8
9.105,5.125,1.97,8
9.115,5.125,1.9775,8
9.125,5.125,1.985,8
9.135,5.125,1.9925,8
9.145,5.125,2,8
0.375,5.845,0,9
0.385,5.845,0.0094,9
0.395,5.845,0.0188,9
0.405,5.845,0.0282,9
0.415,5.845,0.0376,9
0.425,5.845,0.047,9
0.435,5.845,0.0564,9
0.445,5.845,0.0658,9
0.455,5.845,0.0752,9
0.465,5.845,0.0846,9
0.475,5.845,0.094,9
0.485,5.845,0.1034,9
0.495,5.845,0.1128,9
0.505,5.845,0.1222,9
0.515,5.845,0.1316,9
0.525,5.845,0.141,9
0.535,5.845,0.1504,9
0.545,5.845,0.1598,9
0.555,5.845,0.1692,9
0.565,5.845,0.1786,9
0.575,5.845,0.188,9
0.585,5.845,0.1974,9
0.595,5.845,0.2068,9
0.605,5.845,0.2162,9
0.615,5.845,0.2256,9
0.625,5.845,0.235,9
0.635,5.845,0.2444,9
0.645,5.845,0.2538,9
0.655,5.845,0.2632,9
0.665,5.845,0.2726,9
0.675,5.845,0.282,9
0.685,5.845,0.2914,9
0.695,5.845,0.3008,9
0.705,5.845,0.3102,9
0.715,5.845,0.3196,9
0.725,5.845,0.329,9
0.735,5.845,0.3384,9
0.745,5.845,0.3478,9
0.755,5.845,0.3572,9
0.765,5.845,0.3666,9
0.775,5.845,0.376,9
0.785,5.845,0.3854,9
0.795,5.845,0.3948,9
0.805,5.845,0.4042,9
0.815,5.845,0.4136,9
0.825,5.845,0.423,9
0.835,5.845,0.4324,9
0.845,5.845,0.4418,9
0.855,5.845,0.4512,9
0.865,5.845,0.4606,9
0.875,5.845,0.47,9
0.885,5.845,0.4794,9
0.895,5.845,0.4888,9
0.905,5.845,0.4982,9
0.915,5.845,0.5076,9
0.925,5.845,0.517,9
0.935,5.845,0.5264,9
0.945,5.845,0.5358,9
0.955,5.845,0.5452,9
0.965,5.845,0.5546,9
0.975,5.845,0.564,9
0.985,5.845,0.5734,9
0.995,5.845,0.5828,9
1.005,5.845,0.5922,9
1.015,5.845,0.6016,9
1.025,5.845,0.611,9
1.035,5.845,0.6204,9
1.045,5.845,0.6298,9
1.055,5.845,0.6392,9
1.065,5.845,0.6486,9
1.075,5.845,0.658,9
1.085,5.845,0.6674,9
1.095,5.845,0.6768,9
1.105,5.845,0.6862,9
1.115,5.845,0.6956,9
1.125,5.845,0.705,9
1.135,5.845,0.7144,9
1.145,5.845,0.7238,9
1.155,5.845,0.7332,9
1.165,5.845,0.7426,9
1.175,5.845,0.752,9
1.185,5.845,0.7614,9
1.195,5.845,0.7708,9
1.205,5.845,0.7802,9
1.215,5.845,0.7896,9
1.225,5.845,0.799,9
1.235,5.845,0.8084,9
1.245,5.845,0.8178,9
1.255,5.845,0.8272,9
1.265,5.845,0.8366,9
1.275,5.845,0.846,9
1.285,5.845,0.8554,9
1.295,5.845,0.8648,9
1.305,5.845,0.8742,9
1.315,5.845,0.8836,9
1.325,5.845,0.893,9
1.335,5.845,0.9024,9
1.345,5.845,0.9118,9
1.355,5.845,0.9212,9
1.365,5.845,0.9306,9
1.375,5.845,0.94,9
1.385,5.845,0.9494,9
1.395,5.845,0.9588,9
1.405,5.845,0.9682,9
1.415,5.845,0.9776,9
1.425,5.845,0.987,9
1.435,5.845,0.9964,9
1.445,5.845,1.0058,9
1.455,5.845,1.0152,9
1.465,5.845,1.0246,9
1.475,5.845,1.034,9
1.485,5.845,1.0434,9
1.495,5.845,1.0528,9
1.505,5.845,1.0622,9
1.515,5.845,1.0716,9
1.525,5.845,1.081,9
1.535,5.845,1.0904,9
1.545,5.845,1.0998,9
1.555,5.845,1.1092,9
1.565,5.845,1.1186,9
1.575,5.845,1.128,9
1.585,5.845,1.1374,9
1.595,5.845,1.1468,9
1.605,5.845,1.1562,9
1.615,5.845,1.1656,9
1.625,5.845,1.175,9
1.635,5.845,1.1844,9
1.645,5.845,1.1938,9
1.655,5.845,1.2032,9
1.665,5.845,1.2126,9
1.675,5.845,1.222,9
1.685,5.845,1.2314,9
1.695,5.845,1.2408,9
1.705,5.845,1.2502,9
1.715,5.845,1.2596,9
1.725,5.845,1.269,9
1.735,5.845,1.2784,9
1.745,5.845,1.2878,9
1.755,5.845,1.2972,9
1.765,5.845,1.3066,9
1.775,5.845,1.316,9
1.785,5.845,1.3254,9
1.795,5.845,1.3348,9
1.805,5.845,1.3442,9
1.815,5.845,1.3536,9
1.825,5.845,1.363,9
1.835,5.845,1.3724,9
1.845,5.845,1.3818,9
1.855,5.845,1.3912,9
1.865,5.845,1.4006,9
1.875,5.845,1.41,9
1.885,5.845,1.4194,9
1.895,5.845,1.4288,9
1.905,5.845,1.4382,9
1.915,5.845,1.4476,9
1.925,5.845,1.457,9
1.935,5.845,1.4664,9
1.945,5.845,1.4758,9
1.955,5.845,1.4852,9
1.965,5.845,1.4946,9
1.975,5.845,1.504,9
1.985,5.845,1.5134,9
1.995,5.845,1.5228,9
2.005,5.845,1.5322,9
2.015,5.845,1.5416,9
2.025,5.845,1.551,9
2.035,5.845,1.5604,9
2.045,5.845,1.5698,9
2.055,5.845,1.5792,9
2.065,5.845,1.5886,9
2.075,5.845,1.598,9
2.085,5.845,1.6074,9
2.095,5.845,1.6168,9
2.105,5.845,1.6262,9
2.115,5.845,1.6356,9
2.125,5.845,1.645,9
2.135,5.845,1.6544,9
2.145,5.845,1.6638,9
2.155,5.845,1.6732,9
2.165,5.845,1.6826,9
2.175,5.845,1.692,9
2.185,5.845,1.7014,9
2.195,5.845,1.7108,9
2.205,5.845,1.7202,9
2.215,5.845,1.7296,9
2.225,5.845,1.739,9
2.235,5.845,1.7484,9
2.245,5.845,1.7578,9
2.255,5.845,1.7672,9
2.265,5.845,1.7766,9
2.275,5.845,1.786,9
2.285,5.845,1.7954,9
2.295,5.845,1.8048,9
2.305,5.845,1.8142,9
2.315,5.845,1.8236,9
2.325,5.845,1.833,9
2.335,5.845,1.8424,9
2.345,5.845,1.8518,9
2.355,5.845,1.8612,9
2.365,5.845,1.8706,9
2.375,5.845,1.88,9
2.385,5.845,1.8894,9
2.395,5.845,1.8988,9
2.405,5.845,1.9082,9
2.415,5.845,1.9176,9
2.425,5.845,1.927,9
2.435,5.845,1.9364,9
2.445,5.845,1.9458,9
2.455,5.845,1.9552,9
2.465,5.845,1.9646,9
2.475,5.845,1.974,9
2.485,5.845,1.9834,9
2.495,5.845,1.9928,9
2.505,5.845,2.0022,9
2.515,5.845,2.0116,9
2.525,5.845,2.021,9
2.535,5.845,2.0304,9
2.545,5.845,2.0398,9
2.555,5.845,2.0492,9
2.565,5.845,2.0586,9
2.575,5.845,2.068,9
2.585,5.845,2.0774,9
2.595,5.845,2.0868,9
2.605,5.845,2.0962,9
2.615,5.845,2.1056,9
2.625,5.845,2.115,9
2.635,5.845,2.1244,9
2.645,5.845,2.1338,9
2.655,5.845,2.1432,9
2.665,5.845,2.1526,9
2.675,5.845,2.162,9
2.685,5.845,2.1714,9
2.695,5.845,2.1808,9
2.705,5.845,2.1902,9
2.715,5.845,2.1996,9
2.725,5.845,2.209,9
2.735,5.845,2.2184,9
2.745,5.845,2.2278,9
2.755,5.845,2.2372,9
2.765,5.845,2.2466,9
2.775,5.845,2.256,9
2.785,5.845,2.2654,9
2.795,5.845,2.2748,9
2.805,5.845,2.2842,9
2.815,5.845,2.2936,9
2.825,5.845,2.303,9
2.835,5.845,2.3124,9
2.845,5.845,2.3218,9
2.855,5.845,2.3312,9
2.865,5.845,2.3406,9
2.875,5.845,2.35,9
0,3.0625,0.98,10
0,3.0625,0.99,10
0,3.0625,1,10
0,3.0625,1.01,10
0,3.0625,1.02,10
0,3.0625,1.03,10
0,3.0625,1.04,10
0,3.0625,1.05,10
0,3.0625,1.06,10
0,3.0625,1.07,10
0,3.0625,1.08,10
0,3.0625,1.09,10
0,3.0625,1.1,10
0,3.0625,1.11,10
0,3.0625,1.12,10
0,3.0625,1.13,10
0,3.0625,1.14,10
0,3.0625,1.15,10
0,3.0625,1.16,10
0,3.0625,1.17,10
0,3.0625,1.18,10
0,3.0625,1.19,10
0,3.0625,1.2,10
0,3.0625,1.21,10
0,3.0625,1.22,11
0,3.0625,1.23,11
0,3.0625,1.24,11
0,3.0625,1.25,11
0,3.0625,1.26,11
0,3.0625,1.27,11
0,3.0625,1.28,11
0,3.0625,1.29,11
0,3.0625,1.3,11
0,3.0625,1.31,11
0,3.0625,1.32,11
0,3.0625,1.33,11
0,3.0625,1.34,11
0,3.0625,1.35,11
0,3.0625,1.36,11
0,3.0625,1.37,11
0,3.0625,1.38,11
0,3.0625,1.39,11
0,3.0625,1.4,11
0,3.0625,1.41,11
0,3.0625,1.42,11
0,3.0625,1.43,11
0,3.0625,1.44,11
0,3.0625,1.45,11
0,3.0625,1.46,12
0,3.0625,1.47,12
0,3.0625,1.48,12
0,3.0625,1.49,12
0,3.0625,1.5,12
0,3.0625,1.51,12
0,3.0625,1.52,12
0,3.0625,1.53,12
0,3.0625,1.54,12
0,3.0625,1.55,12
0,3.0625,1.56,12
0,3.0625,1.57,12
0,3.0625,1.58,12
0,3.0625,1.59,12
0,3.0625,1.6,12
0,3.0625,1.61,12
0,3.0625,1.62,12
0,3.0625,1.63,12
0,3.0625,1.64,12
0,3.0625,1.65,12
0,3.0625,1.66,12
0,3.0625,1.67,12
0,3.0625,1.68,12
0,3.0625,1.69,12
0,3.0625,1.7,13
0,3.0625,1.71,13
0,3.0625,1.72,13
0,3.0625,1.73,13
0,3.0625,1.74,13
0,3.0625,1.75,13
0,3.0625,1.76,13
0,3.0625,1.77,13
0,3.0625,1.78,13
0,3.0625,1.79,13
0,3.0625,1.8,13
0,3.0625,1.81,13
0,3.0625,1.82,13
0,3.0625,1.83,13
0,3.0625,1.84,13
0,3.0625,1.85,13
0,3.0625,1.86,13
0,3.0625,1.87,13
0,3.0625,1.88,13
0,3.0625,1.89,13
0,3.0625,1.9,13
0,3.0625,1.91,13
0,3.0625,1.92,13
0,3.0625,1.93,13
